###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_IMG_9409.jpg		no	0:00	0:05	0.000	5.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
IMG_9400.jpg		no	0:05	0:10	5.000	10.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
IMG_9401.jpg		no	0:10	0:15	10.000	15.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
IMG_9402.jpg		no	0:15	0:20	15.000	20.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
IMG_9403.jpg		no	0:20	0:25	20.000	25.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
IMG_9404.jpg		no	0:25	0:30	25.000	30.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
IMG_9405.jpg		no	0:30	0:35	30.000	35.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
IMG_9406.jpg		no	0:35	0:40	35.000	40.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
IMG_9407.jpg		no	0:40	0:45	40.000	45.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
IMG_9408.jpg		no	0:45	0:50	45.000	50.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
IMG_9409.jpg		no	0:50	0:55	50.000	55.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
IMG_9410.jpg		no	0:55	1:00	55.000	60.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
IMG_9411.jpg		no	1:00	1:05	60.000	65.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
IMG_9412.jpg		no	1:05	1:10	65.000	70.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
IMG_9413.jpg		no	1:10	1:15	70.000	75.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
IMG_9414.jpg		no	1:15	1:20	75.000	80.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
IMG_9415.jpg		no	1:20	1:25	80.000	85.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
IMG_9416.jpg		no	1:25	1:30	85.000	90.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
IMG_9417.jpg		no	1:30	1:35	90.000	95.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
IMG_9418.jpg		no	1:35	1:40	95.000	100.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
IMG_9419.jpg		no	1:40	1:45	100.000	105.000	5.000	Neue Wohnung Schorschi			15.12.20 (Di) 20:00		
